Macrotrends Data Download

Denmark Poverty Rate 1987-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, % Under US $5.50 Per Day, Change, 
1987-12-31,1.2
1992-12-31,1,-0.2
1995-12-31,0.2,-0.8
2000-12-31,0.2,0
2003-12-31,0.4,0.2
2004-12-31,0.4,0
2005-12-31,0.5,0.1
2006-12-31,0.3,-0.2
2007-12-31,0.5,0.2
2008-12-31,0.7,0.2
2009-12-31,0.9,0.2
2010-12-31,0.2,-0.7
2011-12-31,0.6,0.4
2012-12-31,0.2,-0.4
2013-12-31,0.6,0.4
2014-12-31,0.7,0.1
2015-12-31,0.4,-0.3
2016-12-31,0.4,0
2017-12-31,0.2,-0.2
2018-12-31,0.3,0.1
